,町丁目,世帯数,総数,男,女,年度,月次,公開件数
317,西片二丁目,1442,2867,1418,1449,2016,5,66
318,向丘一丁目,1821,3364,1670,1694,2016,5,75
319,向丘二丁目,1883,3244,1503,1741,2016,5,100
320,弥生一丁目,234,419,209,210,2016,5,8
321,弥生二丁目,814,1514,729,785,2016,5,32
322,根津一丁目,1411,2536,1139,1397,2016,5,25
323,根津二丁目,2246,3835,1821,2014,2016,5,62
324,千駄木一丁目,715,1490,686,804,2016,5,21
325,千駄木二丁目,2540,4396,2092,2304,2016,5,80
326,千駄木三丁目,3794,6696,3192,3504,2016,5,140
327,千駄木四丁目,1667,3076,1506,1570,2016,5,78
328,千駄木五丁目,2236,4611,2225,2386,2016,5,74
329,本駒込一丁目,2349,4561,2132,2429,2016,5,142
330,本駒込二丁目,2640,5059,2447,2612,2016,5,76
331,本駒込三丁目,1836,3313,1569,1744,2016,5,70
332,本駒込四丁目,2121,4144,1981,2163,2016,5,89
333,本駒込五丁目,3113,5772,2786,2986,2016,5,129
334,本駒込六丁目,1844,3628,1674,1954,2016,5,62
335,後楽一丁目,443,725,358,367,2016,6,4
336,後楽二丁目,872,1505,755,750,2016,6,35
337,春日一丁目,965,1521,669,852,2016,6,58
338,春日二丁目,2089,4083,1959,2124,2016,6,74
339,小石川一丁目,1784,3407,1572,1835,2016,6,62
340,小石川二丁目,2124,3916,1868,2048,2016,6,69
341,小石川三丁目,2513,5197,2480,2717,2016,6,47
342,小石川四丁目,1772,3588,1640,1948,2016,6,82
343,小石川五丁目,2937,5587,2541,3046,2016,6,144
344,白山一丁目,2661,4709,2324,2385,2016,6,95
345,白山二丁目,2262,4174,2053,2121,2016,6,92
346,白山三丁目,530,1019,492,527,2016,6,24
347,白山四丁目,2263,4328,2051,2277,2016,6,52
348,白山五丁目,2146,3757,1717,2040,2016,6,100
349,千石一丁目,1890,3856,1801,2055,2016,6,48
350,千石二丁目,2056,4258,2049,2209,2016,6,43
351,千石三丁目,2183,4410,2115,2295,2016,6,74
352,千石四丁目,3270,5625,2709,2916,2016,6,156
353,水道一丁目,1409,2597,1288,1309,2016,6,49
354,水道二丁目,2064,3351,1673,1678,2016,6,118
355,小日向一丁目,1144,2233,1020,1213,2016,6,21
356,小日向二丁目,1088,2440,1172,1268,2016,6,17
357,小日向三丁目,655,1298,621,677,2016,6,31
358,小日向四丁目,953,1784,851,933,2016,6,35
359,大塚一丁目,538,1132,502,630,2016,6,1
360,大塚二丁目,1077,1963,834,1129,2016,6,24
361,大塚三丁目,2169,3591,1652,1939,2016,6,123
362,大塚四丁目,1827,3126,1462,1664,2016,6,58
363,大塚五丁目,2400,4347,2068,2279,2016,6,69
364,大塚六丁目,2262,3919,1959,1960,2016,6,55
365,関口一丁目,2719,4626,2163,2463,2016,6,137
366,関口二丁目,489,1017,479,538,2016,6,14
367,関口三丁目,455,928,454,474,2016,6,17
368,目白台一丁目,1235,2189,1162,1027,2016,6,32
369,目白台二丁目,1193,2193,1033,1160,2016,6,48
370,目白台三丁目,1361,2573,1186,1387,2016,6,39
371,音羽一丁目,2365,4019,1787,2232,2016,6,72
372,音羽二丁目,1007,1767,794,973,2016,6,21
373,本郷一丁目,2179,4250,1960,2290,2016,6,114
374,本郷二丁目,1883,3143,1486,1657,2016,6,123
375,本郷三丁目,1921,3002,1363,1639,2016,6,89
376,本郷四丁目,2264,4165,1976,2189,2016,6,58
377,本郷五丁目,1909,3389,1721,1668,2016,6,113
378,本郷六丁目,1108,1932,972,960,2016,6,49
379,湯島一丁目,466,685,320,365,2016,6,33
380,湯島二丁目,1709,2764,1401,1363,2016,6,95
381,湯島三丁目,1880,2887,1429,1458,2016,6,170
382,湯島四丁目,1185,2116,1063,1053,2016,6,60
383,西片一丁目,1187,2382,1125,1257,2016,6,45
384,西片二丁目,1442,2861,1413,1448,2016,6,52
385,向丘一丁目,1816,3365,1668,1697,2016,6,73
386,向丘二丁目,1883,3238,1498,1740,2016,6,109
387,弥生一丁目,235,421,212,209,2016,6,12
388,弥生二丁目,806,1514,731,783,2016,6,38
389,根津一丁目,1415,2538,1136,1402,2016,6,19
390,根津二丁目,2252,3840,1816,2024,2016,6,72
391,千駄木一丁目,719,1497,691,806,2016,6,18
392,千駄木二丁目,2545,4395,2097,2298,2016,6,107
393,千駄木三丁目,3784,6694,3192,3502,2016,6,118
394,千駄木四丁目,1665,3064,1501,1563,2016,6,91
395,千駄木五丁目,2239,4620,2224,2396,2016,6,95
396,本駒込一丁目,2356,4562,2135,2427,2016,6,116
397,本駒込二丁目,2644,5058,2444,2614,2016,6,56
398,本駒込三丁目,1836,3310,1575,1735,2016,6,61
399,本駒込四丁目,2119,4140,1983,2157,2016,6,107
400,本駒込五丁目,3113,5786,2786,3000,2016,6,120
401,本駒込六丁目,1846,3635,1676,1959,2016,6,57
402,後楽一丁目,440,723,356,367,2016,7,2
403,後楽二丁目,869,1496,750,746,2016,7,29
404,春日一丁目,964,1529,673,856,2016,7,55
405,春日二丁目,2097,4093,1965,2128,2016,7,72
406,小石川一丁目,1782,3411,1570,1841,2016,7,68
407,小石川二丁目,2125,3900,1859,2041,2016,7,70
408,小石川三丁目,2509,5195,2482,2713,2016,7,53
409,小石川四丁目,1775,3593,1646,1947,2016,7,79
410,小石川五丁目,2922,5572,2532,3040,2016,7,134
411,白山一丁目,2649,4698,2316,2382,2016,7,101
412,白山二丁目,2261,4184,2054,2130,2016,7,71
413,白山三丁目,526,1014,489,525,2016,7,23
414,白山四丁目,2251,4305,2039,2266,2016,7,60
415,白山五丁目,2141,3745,1713,2032,2016,7,94
416,千石一丁目,1901,3875,1810,2065,2016,7,52
417,千石二丁目,2062,4264,2051,2213,2016,7,51
418,千石三丁目,2190,4429,2121,2308,2016,7,61
419,千石四丁目,3277,5638,2713,2925,2016,7,158
420,水道一丁目,1403,2586,1282,1304,2016,7,56
421,水道二丁目,2088,3379,1688,1691,2016,7,110
422,小日向一丁目,1147,2241,1022,1219,2016,7,14
423,小日向二丁目,1094,2449,1178,1271,2016,7,16
424,小日向三丁目,658,1301,623,678,2016,7,27
425,小日向四丁目,955,1792,860,932,2016,7,28
426,大塚一丁目,541,1136,503,633,2016,7,2
427,大塚二丁目,1082,1963,829,1134,2016,7,22
428,大塚三丁目,2155,3572,1645,1927,2016,7,93
429,大塚四丁目,1836,3145,1466,1679,2016,7,48
430,大塚五丁目,2403,4351,2070,2281,2016,7,74
431,大塚六丁目,2265,3921,1966,1955,2016,7,37
432,関口一丁目,2732,4648,2170,2478,2016,7,142
433,関口二丁目,491,1022,480,542,2016,7,8
434,関口三丁目,457,927,453,474,2016,7,16
435,目白台一丁目,1240,2204,1168,1036,2016,7,42
436,目白台二丁目,1187,2188,1030,1158,2016,7,46
437,目白台三丁目,1349,2565,1184,1381,2016,7,33
438,音羽一丁目,2364,4024,1791,2233,2016,7,66
439,音羽二丁目,1011,1774,797,977,2016,7,34
440,本郷一丁目,2183,4256,1961,2295,2016,7,102
441,本郷二丁目,1896,3154,1487,1667,2016,7,107
442,本郷三丁目,1924,3011,1367,1644,2016,7,101
443,本郷四丁目,2265,4174,1978,2196,2016,7,69
444,本郷五丁目,1906,3389,1721,1668,2016,7,105
445,本郷六丁目,1111,1939,978,961,2016,7,46
446,湯島一丁目,467,686,319,367,2016,7,27
447,湯島二丁目,1708,2761,1394,1367,2016,7,124
448,湯島三丁目,1877,2886,1426,1460,2016,7,157
449,湯島四丁目,1195,2127,1069,1058,2016,7,53
450,西片一丁目,1192,2394,1132,1262,2016,7,45
451,西片二丁目,1450,2870,1424,1446,2016,7,48
452,向丘一丁目,1828,3379,1674,1705,2016,7,102
453,向丘二丁目,1882,3236,1498,1738,2016,7,100
454,弥生一丁目,238,421,212,209,2016,7,13
455,弥生二丁目,801,1514,733,781,2016,7,36
456,根津一丁目,1417,2539,1138,1401,2016,7,24
457,根津二丁目,2253,3848,1816,2032,2016,7,84
458,千駄木一丁目,726,1508,694,814,2016,7,16
459,千駄木二丁目,2547,4392,2096,2296,2016,7,117
460,千駄木三丁目,3791,6706,3200,3506,2016,7,125
461,千駄木四丁目,1670,3069,1501,1568,2016,7,79
462,千駄木五丁目,2242,4628,2229,2399,2016,7,88
463,本駒込一丁目,2356,4555,2126,2429,2016,7,95
464,本駒込二丁目,2644,5058,2440,2618,2016,7,61
465,本駒込三丁目,1833,3298,1571,1727,2016,7,64
466,本駒込四丁目,2126,4144,1983,2161,2016,7,124
467,本駒込五丁目,3105,5787,2783,3004,2016,7,137
468,本駒込六丁目,1853,3654,1685,1969,2016,7,53
469,後楽一丁目,441,726,357,369,2016,8,2
470,後楽二丁目,866,1488,745,743,2016,8,37
471,春日一丁目,965,1529,673,856,2016,8,38
472,春日二丁目,2094,4090,1962,2128,2016,8,57
473,小石川一丁目,1775,3413,1568,1845,2016,8,47
474,小石川二丁目,2126,3895,1858,2037,2016,8,70
475,小石川三丁目,2501,5183,2475,2708,2016,8,53
476,小石川四丁目,1773,3588,1639,1949,2016,8,63
477,小石川五丁目,2925,5596,2542,3054,2016,8,117
478,白山一丁目,2648,4688,2298,2390,2016,8,86
479,白山二丁目,2265,4192,2054,2138,2016,8,79
480,白山三丁目,526,1010,486,524,2016,8,25
481,白山四丁目,2238,4290,2026,2264,2016,8,53
482,白山五丁目,2148,3756,1722,2034,2016,8,79
483,千石一丁目,1899,3859,1805,2054,2016,8,65
484,千石二丁目,2070,4284,2058,2226,2016,8,49
485,千石三丁目,2206,4444,2128,2316,2016,8,48
486,千石四丁目,3266,5635,2709,2926,2016,8,170
487,水道一丁目,1407,2593,1282,1311,2016,8,48
488,水道二丁目,2089,3384,1690,1694,2016,8,116
489,小日向一丁目,1152,2256,1027,1229,2016,8,11
490,小日向二丁目,1099,2464,1183,1281,2016,8,20
491,小日向三丁目,661,1300,624,676,2016,8,21
